74005,The Metropolitan Hotel & Spa New Delhi,New Delhi,"Bangla Saheb Road, Connaught Place",5,https://www.booking.com/hotel/in/nikko.html,11185939,188
74024,La Place Sarovar Portico,Lucknow,"6, Shahnajaf Road, Hazratganj |Lucknow -226001",3,https://www.booking.com/hotel/in/laplace.html,8928850,97
74050,Sheraton Grand Pune Bund Garden Hotel,Pune,Raja Bahadur Mill Road,5,https://www.booking.com/hotel/in/sheraton-grand-pune.html,10824273,166
74087,Hotel Arya Niwas,Jaipur,"Behind Amber Tower,Sansar Chandra Road Near MI Road",3,https://www.booking.com/hotel/in/aryaniwas.html,10727762,82
74106,"Hotel Pallvi Palace ""A Well Hygiene Place""",New Delhi,"8572, Arakashan Road Pahar Ganj",3,https://www.booking.com/hotel/in/pallvi.html,8014802,20
74110,"Hotel Yuvraj Deluxe-""Hygienic Hotel""",New Delhi,38 Arakashan Road Pahar Ganj,3,https://www.booking.com/hotel/in/yuvraj.html,9214645,35
74118,Westend Inn,New Delhi,"Adjoining Shiv murti, National highway No: 08, Rangpuri, Mahipalpur",4,https://www.booking.com/hotel/in/westend-inn.html,8143799,124
74132,The C Park Inn Karol Bagh Homely Atmosphere,New Delhi,"1042/15,Abdul Rahman Road,Naiwalan Karol Bagh",3,https://www.booking.com/hotel/in/c-park-inn.html,9259141,22
74156,Hotel Shikha Jaipur City Centre,Jaipur,"R-14, Yudhishthir Marg, C-Scheme",3,https://www.booking.com/hotel/in/shikha.html,6854486,25
74209,"Amarpreet, Aurangabad - AM Hotel Kollection",Aurangabad,"Amarpreet Chowk, Jalna Road",3,https://www.booking.com/hotel/in/amarpreet.html,7834033,30
74211,FabHotel Le Heritage Karol Bagh,New Delhi,"8A/3 Wea Pusa Road, Near Telephone Exchange,",3,https://www.booking.com/hotel/in/le-heritage.html,8932383,2
74268,Radisson Mumbai Goregaon,Mumbai,"Junction of S.V. Road & Veer Savarkar Road Flyover, Goregaon West",4,https://www.booking.com/hotel/in/grand-sarovar-premire-mumbai.html,11132461,87
74701,The Gateway Hotel Ambad,Nashik," P-17, MIDC Ambad, Mumbai - Agra Road",5,https://www.booking.com/hotel/in/taj-residency.html,10045741,163
74702,"Vivanta Aurangabad, Maharashtra",Aurangabad," 8-N - 12, CIDCO, Rauza Bagh",5,https://www.booking.com/hotel/in/taj-residency-aurangabad.html,9998467,63
74703,The Gateway Hotel Beach Road,Visakhapatnam,Beach Road,5,https://www.booking.com/hotel/in/taj-residency-visakhapatnam.html,10956385,95
74704,Vivanta Vadodara,Vadodara,Akota Gardens,5,https://www.booking.com/hotel/in/taj-residency-vadodara.html,9259143,64
74705,The Gateway Hotel Pasumalai Madurai,Madurai," No. 40 TPK Road, Pasumalai",5,https://www.booking.com/hotel/in/taj-garden-retreat.html,10677388,57
74706,Gateway Chikmagalur - IHCL SeleQtions,Chikmagalūr,"K.M. Road, Opposite Pavitravana, Jyothinagar Post",4,https://www.booking.com/hotel/in/taj-garden-retreat-chikmagalur.html,6576487,28
74708,Savoy - IHCL SeleQtions,Ooty,"77, Sylks Road",4,https://www.booking.com/hotel/in/taj-savoy.html,9370828,40
74709,"Ramgarh Lodge, Jaipur – IHCL SeleQtions",Jaipur,"The Ramgarh Lake, Jamwa Ramgarh, Jaipur",5,https://www.booking.com/hotel/in/ramgarh-lodge.html,8530497,14
74710,Taj Club House,Chennai,No. 2 Club House Road,5,https://www.booking.com/hotel/in/taj-mount-road.html,9401846,220
74711,Blue Diamond Pune IHCL SeleQtions,Pune,"11, Koregaon Park Rd, Vasani Nagar, ",5,https://www.booking.com/hotel/in/taj-blue-diamond.html,9901153,110
74712,Vivanta Mangalore Oldport Road,Mangalore,"Old Port Road, Karnataka",4,https://www.booking.com/hotel/in/manjarun.html,10562566,98
74713,Surat Marriott Hotel,Surat,"Ambika Niketan, Athwa Lines, Surat Dumas Road",5,https://www.booking.com/hotel/in/gateway-on-athwa-lines.html,11095180,176
74714,Rambagh Palace,Jaipur,Bhawani Singh Road,5,https://www.booking.com/hotel/in/rambagh-palace.html,10066337,78
74715,Taj Mahal Lucknow,Lucknow,"Vipin Khand, Gomti Nagar",5,https://www.booking.com/hotel/in/taj-residency-lucknow.html,10129549,107
74716,"Taj Fisherman’s Cove Resort & Spa, Chennai",Mahabalipuram,"Covelong Beach, Kancheepuram District",5,https://www.booking.com/hotel/in/fisherman-s-cove.html,10713401,150
74717,The Taj Mahal Tower Mumbai,Mumbai,Apollo Bunder,5,https://www.booking.com/hotel/in/the-taj-mahal-palace-tower.html,11187805,225
74718,"Taj Holiday Village Resort & Spa, Goa",Candolim,"Dando, Bardez",5,https://www.booking.com/hotel/in/taj-holiday-village.html,11070017,140
74719,"Taj Fort Aguada Resort & Spa, Goa",Candolim,Sinquerim Beach,5,https://www.booking.com/hotel/in/fort-aguada-beach-resort.html,10890789,143
74720,Jai Mahal Palace,Jaipur,"Jacob Road, Civil Lines",5,https://www.booking.com/hotel/in/jaimahal-palace.html,10812484,100
74721,Umaid Bhawan Palace Jodhpur,Jodhpur,Palace Road,5,https://www.booking.com/hotel/in/umaid-bhawan-place.html,10348842,70
74722,Taj Lands End,Mumbai,"Bandstand, Bandra West, Maharashtra",5,https://www.booking.com/hotel/in/taj-lands-end.html,11166782,482
74723,Gateway Coonoor - IHCL SeleQtions,Coonoor,"Church Road, Upper Coonoor",4,https://www.booking.com/hotel/in/gateway-coonoor.html,9370829,32
74724,"Taj Exotica Resort & Spa, Goa",Benaulim,Benaulim Beach,5,https://www.booking.com/hotel/in/taj-exotica-goa.html,10943575,140
74725,"Taj Mahal, New Delhi",New Delhi,No 1 Mansingh Road,5,https://www.booking.com/hotel/in/the-taj-mahal-new-delhi.html,11146099,213
74727,Taj Deccan,Hyderabad,Road # 1 Banjara Hills  ,5,https://www.booking.com/hotel/in/taj-deccan.html,10894895,156
74728,Taj Bengal,Kolkata,"34B, Belvedere Road, Alipore Kolkata 700027",5,https://www.booking.com/hotel/in/taj-bengal.html,10386245,226
74729,"Taj Palace, New Delhi",New Delhi,Sardar Patel Marg,5,https://www.booking.com/hotel/in/taj-palace-new-delhi.html,11165613,378
74730,"Taj Connemara, Chennai",Chennai,No 2 Binny Road,5,https://www.booking.com/hotel/in/taj-connemara.html,11172937,147
74731,Taj West End,Bangalore,Race Course Road,5,https://www.booking.com/hotel/in/taj-west-end.html,10728659,117
74732,Taj Lake Palace Udaipur,Udaipur,P O Box No 5 Pichola Lake,5,https://www.booking.com/hotel/in/taj-lake-palace.html,10697880,83
74733,The Ummed Ahmedabad Airport,Ahmedabad,Near Airport Circle,5,https://www.booking.com/hotel/in/taj-residency-ummed.html,9369034,91
74734,"Vivanta Vijayawada, MG Road",Vijayawāda,"39-1-63, MG Road",5,https://www.booking.com/hotel/in/the-gateway.html,10913296,108
74735,Taj Hari Mahal Jodhpur,Jodhpur,"5, Residency Road",5,https://www.booking.com/hotel/in/taj-hari-mahal.html,10415844,93
74736,President - IHCL SeleQtions,Mumbai,"90 Cuffe Parade, Maharashtra",5,https://www.booking.com/hotel/in/taj-president.html,11131138,288
74737,Taj Krishna,Hyderabad,Road no.1 Banjara Hills,5,https://www.booking.com/hotel/in/taj-krishna.html,10860085,257
74738,"Ambassador, New Delhi - IHCL SeleQtions",New Delhi,"Sujan Singh Park, Subramania Bharti Marg",5,https://www.booking.com/hotel/in/the-ambassador-new-delhi.html,11083973,88
74739,Taj MG Road Bengaluru,Bangalore,"41/3, M.G. Road",5,https://www.booking.com/hotel/in/taj-residency-bangalore.html,10877662,165
74740,Vivanta Bengaluru Residency Road,Bangalore,"# 66, Residency Road",5,https://www.booking.com/hotel/in/gateway-on-residency-road.html,10269339,98
74741,Taj Kumarakom Resort and Spa Kerala,Kumarakom,"1/404, Kumarakom, Kottayam",5,https://www.booking.com/hotel/in/taj-garden-retreat-kottayam.html,8427300,28
74743,Gateway Varkala - IHCL SeleQtions,Varkala,Janardhanapuram,4,https://www.booking.com/hotel/in/taj-garden-retreat-varkala.html,10788603,31
74744,Taj Green Cove Resort and Spa Kovalam,Kovalam,"G.V. Raja Vattapara Road, Trivandrum",5,https://www.booking.com/hotel/in/taj-green-cove-resort.html,10898922,53
74745,"The Gateway Hotel Marine Drive, Ernakulam",Cochin,Marine Drive,5,https://www.booking.com/hotel/in/taj-residency-ernakulam.html,10042769,130
74746,"Taj Malabar Resort & Spa, Cochin.",Cochin,"Willingdon Island, Cochin",5,https://www.booking.com/hotel/in/taj-malabar.html,10303111,85
74747,Tajview – IHCL SeleQtions,Agra,"Fatehabad Road, Taj Ganj",5,https://www.booking.com/hotel/in/taj-view-agra.html,9973336,92
74748,Hotel Rawalkot Jaisalmer,Jaisalmer,Jodhpur Road,4,https://www.booking.com/hotel/in/rawal-kot-jaisalmer.html,8930604,20
74749,Sawai Madhopur Lodge - IHCL SeleQtions,Sawāi Mādhopur,Ranthambore National Park Road,5,https://www.booking.com/hotel/in/the-sawai-madhopur-lodge.html,9100208,36
74750,Taj Usha Kiran Palace,Gwalior,"Jayendraganj Lashkar, ",5,https://www.booking.com/hotel/in/usha-kiran-palace-gwalior.html,9179910,50
74752,"Taj Ganges, Varanasi",Varanasi,Nadesar Palace Grounds,5,https://www.booking.com/hotel/in/taj-ganges-varanasi.html,10400498,130
74753,The Gateway Hotel Beach Road,Kozhikode,P.T.Usha Road,5,https://www.booking.com/hotel/in/taj-residency-calicut.html,9512801,74
74754,Taj Coromandel,Chennai,"No 37, M.G Road, Nungambakkam",5,https://www.booking.com/hotel/in/taj-coromandel.html,10697881,221
74755,Taj Chandigarh,Chandīgarh,"Block No 9, Sector 17 A",5,https://www.booking.com/hotel/in/taj-chandigarh.html,10350108,149
76741,Trident Agra,Agra,Fatehabad Road,5,https://www.booking.com/hotel/in/trident-agra.html,10286624,145
76806,The Grand Imperial - Heritage Hotel,Agra,M.G. Road Opp DM's Bungalow,5,https://www.booking.com/hotel/in/the-grand-imperial.html,10795481,30
77814,The Oberoi New Delhi,New Delhi,Dr. Zakir Hussain Marg,5,https://www.booking.com/hotel/in/the-oberoi-new-delhi.html,11129982,281
78654,The Oberoi Grand Kolkata,Kolkata,15 Jawaharlal Nehru Road,5,https://www.booking.com/hotel/in/the-oberoi-grand-kolkata.html,11120301,209
78785,The Oberoi Cecil,Shimla,"Chaura Maidan, Near Ambetkar Chowk ",5,https://www.booking.com/hotel/in/the-oberoi-cecil.html,10763594,255
78786,The Oberoi Udaivilas Udaipur,Udaipur,"Haridasji Ki Magri, Udaipur, Rajasthan",5,https://www.booking.com/hotel/in/the-oberoi-udaivilas.html,10976346,120
78787,"The Oberoi Vanyavilas Wildlife Resort, Ranthambhore",Sawāi Mādhopur,Ranthambhore Road,5,https://www.booking.com/hotel/in/the-oberoi-vanyavilas-ranthambhore.html,10877665,15
78788,The Oberoi Rajvilas Jaipur,Jaipur,Goner Road,5,https://www.booking.com/hotel/in/the-oberoi-rajvilas-jaipur.html,11083040,77
78789,"Wildflower Hall, An Oberoi Resort, Shimla",Shimla,Chharabra,5,https://www.booking.com/hotel/in/wildflower-hall-shimla.html,11039883,219
78790,The Oberoi Mumbai,Mumbai,Nariman Point ,5,https://www.booking.com/hotel/in/the-oberoi-mumbai.html,11188282,295
78792,Maidens Hotel New Delhi,New Delhi,"7, Sham Nath Marg",5,https://www.booking.com/hotel/in/maidens.html,11152460,155
78793,Trident Gurgaon,Gurgaon,"443 Udyog Vihar, Phase V",5,https://www.booking.com/hotel/in/trident-gurgoan.html,10864705,170
78794,Trident Nariman Point,Mumbai,Nariman Point,5,https://www.booking.com/hotel/in/trident-nariman-point.html,11192154,297
78795,Trident Cochin,Cochin,"Bristow Road, Willingdon Island",5,https://www.booking.com/hotel/in/trident-cochin.html,10456428,120
78796,Trident Udaipur,Udaipur,"Haridasji Ki Magri, Udaipur, Rajasthan",5,https://www.booking.com/hotel/in/trident-udaipur.html,10864706,290
78797,Trident Chennai,Chennai,1/24 G.S.T Road,5,https://www.booking.com/hotel/in/trident-chennai.html,10627510,220
78798,Trident Jaipur,Jaipur,"Amber Fort Road, Opposite Jal Mahal ",5,https://www.booking.com/hotel/in/trident-jaipur.html,10835065,220
78799,Trident Bhubaneswar,Bhubaneshwar,CB-1 Nayapalli ,5,https://www.booking.com/hotel/in/trident-bhubaneswar.html,10849706,70
78800,The Oberoi Bengaluru,Bangalore,"37-39, Mahatma Gandhi Road ",5,https://www.booking.com/hotel/in/the-oberoi-bangalore.html,11126705,180
78801,The Oberoi Amarvilas Agra,Agra,Taj East Gate Road,5,https://www.booking.com/hotel/in/the-oberoi-amarvilas-agra.html,11048352,125
79447,Hotel Jewel Palace,New Delhi,2624 Bank Street Karol Bagh,3,https://www.booking.com/hotel/in/jewel-palace.html,7705919,58
171931,The Lalit Mumbai-Airport,Mumbai,Sahar Airport Road,5,https://www.booking.com/hotel/in/the-lalit-mumbai.html,11162962,386
172724,Royal Orchid Golden Suites Pune,Pune,"Golden Nest, Opp. Cerebrum IT Park, Kalyani Nagar",4,https://www.booking.com/hotel/in/royal-orchid-golden-suites.html,10583399,71
172953,"Lemon Tree Hotel, Ahmedabad",Ahmedabad,"434/1, Mithakali Six Cross Roads",4,https://www.booking.com/hotel/in/the-lemon-tree-ahmedabad.html,7258639,124
173284,Ramada Plaza by Wyndham JHV Varanasi,Varanasi,"The Mall Cantonment, Uttar Pradesh",5,https://www.booking.com/hotel/in/ramada-plaza-jhv.html,11074232,90
173287,The LaLiT New Delhi,New Delhi,Barakhamba Avenue,5,https://www.booking.com/hotel/in/the-lalit-new-delhi.html,11186970,456
173288,The Lalit Ashok,Bangalore,Kumara Krupa High Grounds,5,https://www.booking.com/hotel/in/the-lalit-ashok.html,10954865,191
175533,Hotel Kingston Park near Karol Bagh Metro Station,New Delhi,"8/5, Wea , Karol Bagh",3,https://www.booking.com/hotel/in/kingston-park.html,10830419,20
175725,Evoma,Bangalore,"#14 Bhattrahalli, Old Madras Road",4,https://www.booking.com/hotel/in/evoma.html,9059750,66
177593,Hotel Aura,New Delhi,"31, Arakashan Road, Pahar Ganj",3,https://www.booking.com/hotel/in/aura.html,11088793,27
191601,Grand Mercure Bangalore - An Accor Brand,Bangalore,"3rd Block,12th Main, Koramangala",5,https://www.booking.com/hotel/in/mercure-homestead-residences.html,10970663,129
191605,Novotel Mumbai Juhu Beach,Mumbai,"Juhu Beach, Maharastra",5,https://www.booking.com/hotel/in/novotel-mumbai-juhu-beach.html,11186587,271
191710,Novotel Hyderabad Airport,Hyderabad,Rajiv Gandhi Intl Airport,5,https://www.booking.com/hotel/in/novotel-hyderabad-airport-hyderabad.html,11125941,346
237300,Hyderabad Marriott Hotel & Convention Centre,Hyderabad,"Opp - Hussain Sagar Lake, Tank Bund Road,",5,https://www.booking.com/hotel/in/hyderabad-marriott-convention-centre.html,10689806,400
237446,Courtyard by Marriott Pune Hinjewadi,Pune,"S.No 19&20, Rajiv Gandhi Infotech Park, Phase 1, Hinjewadi",4,https://www.booking.com/hotel/in/courtyard-marriott-pune-hinjewadi.html,9926438,151
237757,"Hotel Taj Plaza, VIP Road, Agra",Agra,"Taj Mahal East Gate, Shilpgram 'VIP' Road.",3,https://www.booking.com/hotel/in/taj-plaza-agra.html,7919499,42
237786,"InterContinental Marine Drive Mumbai, an IHG Hotel",Mumbai,135 Marine Drive,5,https://www.booking.com/hotel/in/intercontinental-marine-drive-mumbai.html,11123093,61
237940,Regal Enclave,Mumbai,"4th Road,Near Khar Market, Khar West,",3,https://www.booking.com/hotel/in/regal-enclave.html,8708512,34
237961,Lemon Tree Premier City Center,Gurgaon,287 millennium city center Sector 29,4,https://www.booking.com/hotel/in/the-lemon-tree-city-centre.html,9168943,61
237966,"Lemon Tree Hotel, Udyog Vihar, Gurugram",Gurgaon,"866, Udyog Vihar, Phase V",4,https://www.booking.com/hotel/in/the-lemon-tree-udyog-vihar-gurgaon.html,8200997,50
238135,"Crowne Plaza Today Gurugram, an IHG Hotel",Gurgaon,"Site 2 Sector 29, National Highway 8",5,https://www.booking.com/hotel/in/crowne-plaza-today-gurgaon.html,10529182,243
238150,"Taj City Centre New Town, Kolkata",Kolkata,"City Center Two Action Area 2 D. Plot No. 11/5 New Town, Rajarhat",5,https://www.booking.com/hotel/in/swissotel-kolkata.html,10910889,147
238335,Courtyard by Marriott Chennai,Chennai,"564, Anna Salai, Teynampet",4,https://www.booking.com/hotel/in/courtyard-by-marriott-chennai.html,10749103,244
238824,The Westin Mumbai Powai Lake,Mumbai,"2 & 3B Near Chinmayanand Ashram, Powai",5,https://www.booking.com/hotel/in/renaissance-mumbai-convention-center.html,11174523,589
238987,Hotel Parle International,Mumbai,"Tejpal Road, B.N. Agarwal Commercial Complex, Vile Parle (East)",3,https://www.booking.com/hotel/in/parle-international-mumbai.html,10564726,101
238999,Courtyard by Marriott Mumbai International Airport,Mumbai,"Andheri - Kurla Road, Andheri (E)",5,https://www.booking.com/hotel/in/courtyard-by-marriott-mumbai-international-airport.html,11179565,465
239462,"Fariyas Hotel Mumbai , Colaba",Mumbai,"25, Off Arthur Bunder Road, Colaba",4,https://www.booking.com/hotel/in/fariyas.html,11156852,89
239671,Chances Resort and Casino An Indy Resort,Panaji,"Vainguinim Valley, 184/189, Machado's Cove, Dona Paula",4,https://www.booking.com/hotel/in/vainguinim-valley-resort.html,8928890,60
239753,Airport Hotel Le Seasons New Delhi,New Delhi,"A-1A, A Block, Mahipal Pur Ext. NH-8",4,https://www.booking.com/hotel/in/le-seasons-delhi.html,10553890,39
239754,Hotel Southern,New Delhi,"18/2, Arya Samaj Road, Karol Bagh",3,https://www.booking.com/hotel/in/southern-new-delhi.html,10342436,48
239817,"Hotel Hindusthan International, Kolkata",Kolkata,235/1 AJC Bose Road,5,https://www.booking.com/hotel/in/the-hindusthan-international.html,8353256,180
240190,Regenta Place The Emerald,Mumbai,Juhu Tara Road,4,https://www.booking.com/hotel/in/the-emerald-executive-apartments.html,9315697,29
240269,Novotel Hyderabad Convention Centre,Hyderabad,"Novotel & HICC Complex (Adjacent to Hitec City), P O Bag 1101",5,https://www.booking.com/hotel/in/novotel-hyderabad-convention-center.html,11179896,283
240356,ibis Gurgaon Golf Course Road - An Accor Brand,Gurgaon,Sector 53 Golf Course Road,4,https://www.booking.com/hotel/in/ibis-gurgaon.html,9862245,143
240362,ibis Pune Viman Nagar - An Accor Brand,Pune,"Viman Nagar Nagar Road, Maharashtra",3,https://www.booking.com/hotel/in/ibis-pune.html,7620416,160
241283,Casa Cottage,Bangalore,"2, Clapham Street, Richmond Town",3,https://www.booking.com/hotel/in/casa-cottage-banglore.html,9641970,11
241450,The Raj Palace (Small Luxury Hotels of the World),Jaipur,"Zorawer Singh Gate, Amer Road",5,https://www.booking.com/hotel/in/the-raj-palace-jaipur.html,10965295,28
241756,Shantai Hotel,Pune,"Off. Moledina Road, 10/3, Rasta Peth",3,https://www.booking.com/hotel/in/shantai.html,10087832,48
241838,Hotel Marine Plaza,Mumbai,29 Marine Drive,5,https://www.booking.com/hotel/in/marine-plaza.html,11116582,102
242056,West End Hotel Opp Bombay Hospital,Mumbai,45 New Marine Lines,4,https://www.booking.com/hotel/in/west-end.html,9449739,66
242460,"Holiday Inn Mumbai International Airport, an IHG Hotel",Mumbai,"Sakinaka Junction, Andheri Kurla Road, Andheri East",5,https://www.booking.com/hotel/in/holiday-inn-mumbai-international-airport.html,11094335,249
242461,Hotel Airport International Mumbai,Mumbai,"Near Domestic Airport, Vile Parle ( E )",3,https://www.booking.com/hotel/in/airport-international.html,10600651,49
242463,Sarang Palace - Boutique Stays & Candlelight Dining,Jaipur,"A-40, Subhash Nagar, Near Peetal factory, Zhotwara Road",3,https://www.booking.com/hotel/in/sarang-palace-jaipur.html,9705707,26
242675,The Oterra,Bangalore,No 43 Electronics City Phase 1 Hosur Road,5,https://www.booking.com/hotel/in/crowne-plaza-bengaluru-electronics-city.html,9465505,264
242678,Shangri-La Eros New Delhi,New Delhi,"19 Ashoka Road, Connaught Place",5,https://www.booking.com/hotel/in/shangri-la-new-delhi.html,11179626,317
242914,Courtyard by Marriott Ahmedabad,Ahmedabad,"Ramdev Nagar Cross Road, Satellite",5,https://www.booking.com/hotel/in/courtyard-by-marriott-ahmedabad.html,8885136,164
243750,Park Ornate Hotel,Pune,"Near TCS & Siddharth Complex, 1 Km ahead of Bund Garden Bridge Nagar Road",4,https://www.booking.com/hotel/in/park-ornate-park-cental-and-phoenix.html,10475718,48
243753,Hotel Park Central Comfort- E- Suites,Pune,"Near Bund Garden Signal, Koregaon Park,",3,https://www.booking.com/hotel/in/park-central-comfort-e-suites.html,10010228,40
243756,Hotel Phoenix Koregaon Park,Pune,"S.No:81/1, 500 Mtrs ahead of ABC Farms Ltd, Opp. Satellite Tower,Koregaon Park , Pune - 411001",3,https://www.booking.com/hotel/in/phoenix.html,9613946,31
243822,Radisson Jaipur City Center,Jaipur,"Khasa Kothi Circle, M.I. Road",5,https://www.booking.com/hotel/in/country-inn-suites-by-carlson-jaipur.html,10839499,201
243954,Hotel Parc Estique,Pune,"Nagar Road, Near Giga Space, Viman Nagar",4,https://www.booking.com/hotel/in/parc-estique.html,9976605,123
244526,Hotel Bawa International,Mumbai,"Near Domestic Airport, Vile Parle East, Nehru road Extension",3,https://www.booking.com/hotel/in/bawa-international.html,11091961,84
244538,Hotel Bawa Continental,Mumbai,"Near Juhu Beach, Juhu Tara Road, Juhu Vile Parle West ",3,https://www.booking.com/hotel/in/bawa-continental.html,10964847,18
244711,Ramee Guestline Hotel Juhu,Mumbai,"462, A.B. Nair Road, Juhu",4,https://www.booking.com/hotel/in/ramee-guestline-juhu-mumbai.html,10647888,89
244714,Ramee Guestline Hotel Khar,Mumbai,"757, S.V.Road, Khar (W)",3,https://www.booking.com/hotel/in/ramee-guestline-khar-mumbai.html,10436440,36
244730,Ramee Guestline Hotel Dadar,Mumbai,"Plot No.3, Kohinoor Road, Opp.Swami Narayan Temple, Dadar (E)",4,https://www.booking.com/hotel/in/ramee-guestline-dadar-mumbai.html,9862250,46
244749,Ramee Guestline Hotel Bangalore,Attibele,"Plot No.1&2, KIADB Indl.Area, Attibele",4,https://www.booking.com/hotel/in/ramee-guestline-bangalore.html,2290139,96
244894,Chateau Windsor Hotel - Marine Drive,Mumbai,"86 Veer Nariman Road, Churchgate",3,https://www.booking.com/hotel/in/chateau-windsor.html,11116583,66
244958,Royalton Hyderabad Abids,Hyderabad,"5-9-208/2, Chirag Ali Lane",4,https://www.booking.com/hotel/in/royalton-hyderabad-abids.html,9707446,78
245342,Peninsula Grand,Mumbai,Sakinaka junction,4,https://www.booking.com/hotel/in/peninsula-grand.html,7824907,81
246222,Residency Hotel Andheri,Mumbai,"Suren Road, Opp, Cinemax Theatre,Andheri-Kurla Road",3,https://www.booking.com/hotel/in/residency-mumbai-400-093.html,11095416,40
246230,Grand Hotel,Agra,"137, Station Road, Agra Cantt",3,https://www.booking.com/hotel/in/grand.html,5733554,71
246255,Umaid Bhawan - A Heritage Style Boutique Hotel,Jaipur,D1-2A Behari Marg Via Bank Road Bani Park,4,https://www.booking.com/hotel/in/umaid-bhawan.html,10940112,68
246806,Ramada Plaza By Wyndham Palm Grove,Mumbai,"Juhu Tara Road, Juhu Beach",5,https://www.booking.com/hotel/in/ramada-plaza-palm-grove.html,10945268,115
248094,Residency Hotel Fort,Mumbai,"26 Rustom Sidhwa Marg, Corner of D.N. Road, Fort",3,https://www.booking.com/hotel/in/residency-mumbai.html,11175493,39
249392,KK Royal Hotel & Convention Centre,Jaipur,Delhi Road,4,https://www.booking.com/hotel/in/kk-royal.html,10021639,111
